product_id,reordered_0,reordered_1,frequency,ordered_first,ordered_last,clusters_5,clusters_8,aisle_id,department_id,department,aisle
53,85,78.0,163.0,12.0,12.0,0,1,98,7,beverages,juice nectars
54,497,674.0,1171.0,91.0,76.0,2,4,41,8,pets,cat food care
55,35,6.0,41.0,2.0,1.0,0,2,22,11,personal care,hair care
56,22,8.0,30.0,4.0,0.0,3,5,23,19,snacks,popcorn jerky
57,161,5.0,166.0,13.0,9.0,0,1,111,17,household,plates bowls cups flatware
58,45,32.0,77.0,3.0,8.0,0,2,128,3,bakery,tortillas flat bread
59,18,11.0,29.0,3.0,1.0,0,2,50,19,snacks,fruit vegetable snacks
60,39,13.0,52.0,8.0,1.0,0,2,9,9,dry goods pasta,pasta sauce
61,14,4.0,18.0,1.0,1.0,0,2,69,15,canned goods,soup broth bouillon
62,21,10.0,31.0,2.0,4.0,0,2,96,20,deli,lunch meat
63,625,563.0,1188.0,42.0,59.0,2,4,92,18,babies,baby food formula
64,13,8.0,21.0,1.0,1.0,0,2,92,18,babies,baby food formula
65,114,48.0,162.0,13.0,5.0,0,1,89,13,pantry,salad dressing toppings
66,118,129.0,247.0,22.0,11.0,2,1,123,4,produce,packaged vegetables fruits
67,35,8.0,43.0,4.0,2.0,0,2,88,13,pantry,spreads
68,46,25.0,71.0,2.0,9.0,0,2,130,14,breakfast,hot cereal pancake mixes
69,14,5.0,19.0,3.0,0.0,3,5,26,7,beverages,coffee
70,150,17.0,167.0,8.0,12.0,0,1,66,6,international,asian foods
71,33,8.0,41.0,2.0,4.0,0,2,111,17,household,plates bowls cups flatware
72,13,3.0,16.0,0.0,3.0,1,6,100,21,missing,missing
73,22,9.0,31.0,3.0,2.0,0,2,77,7,beverages,soft drinks
74,121,69.0,190.0,20.0,10.0,0,1,14,20,deli,tofu meat alternatives
75,80,30.0,110.0,12.0,8.0,0,1,65,11,personal care,protein meal replacements
76,3,0.0,3.0,0.0,0.0,4,3,12,9,dry goods pasta,fresh pasta
77,113,193.0,306.0,10.0,8.0,2,1,3,19,snacks,energy granola bars
78,8,4.0,12.0,2.0,1.0,0,2,61,19,snacks,cookies cakes
79,1755,2000.0,3755.0,212.0,170.0,2,4,95,15,canned goods,canned meat seafood
80,4,0.0,4.0,0.0,0.0,4,3,19,13,pantry,oils vinegars
81,19,28.0,47.0,4.0,4.0,0,2,38,1,frozen,frozen meals
82,29,10.0,39.0,5.0,4.0,0,2,98,7,beverages,juice nectars
83,314,301.0,615.0,52.0,21.0,2,1,128,3,bakery,tortillas flat bread
84,100,29.0,129.0,12.0,5.0,0,1,7,12,meat seafood,packaged meat
85,4,0.0,4.0,0.0,0.0,4,3,96,20,deli,lunch meat
86,69,67.0,136.0,2.0,6.0,0,1,6,2,other,other
87,482,278.0,760.0,53.0,13.0,2,4,94,7,beverages,tea
88,12,6.0,18.0,0.0,0.0,1,0,47,11,personal care,vitamins supplements
89,26,12.0,38.0,3.0,4.0,0,2,123,4,produce,packaged vegetables fruits
90,23,24.0,47.0,5.0,0.0,3,5,121,14,breakfast,cereal
91,4,2.0,6.0,1.0,1.0,0,2,47,11,personal care,vitamins supplements
92,6,0.0,6.0,0.0,1.0,4,3,40,8,pets,dog food care
93,701,1191.0,1892.0,130.0,49.0,2,4,23,19,snacks,popcorn jerky
94,290,620.0,910.0,40.0,31.0,2,4,92,18,babies,baby food formula
95,2461,426.0,2887.0,189.0,100.0,2,4,66,6,international,asian foods
96,194,20.0,214.0,9.0,16.0,0,1,97,13,pantry,baking supplies decor
97,124,46.0,170.0,7.0,2.0,0,1,94,7,beverages,tea
98,20,21.0,41.0,5.0,2.0,0,2,2,16,dairy eggs,specialty cheeses
99,282,385.0,667.0,43.0,21.0,2,1,83,4,produce,fresh vegetables
100,199,258.0,457.0,23.0,20.0,2,1,38,1,frozen,frozen meals
101,64,123.0,187.0,16.0,10.0,0,1,112,3,bakery,bread
102,153,37.0,190.0,11.0,5.0,0,1,61,19,snacks,cookies cakes
103,5,3.0,8.0,0.0,0.0,1,0,78,19,snacks,crackers
104,66,37.0,103.0,8.0,3.0,0,1,69,15,canned goods,soup broth bouillon
105,20,0.0,20.0,4.0,2.0,4,7,10,17,household,kitchen supplies
106,227,294.0,521.0,25.0,23.0,2,1,92,18,babies,baby food formula
107,27,35.0,62.0,1.0,2.0,0,2,51,13,pantry,preserved dips spreads
108,53,94.0,147.0,4.0,2.0,0,1,112,3,bakery,bread
109,23,33.0,56.0,4.0,5.0,0,2,13,20,deli,prepared meals
110,10,6.0,16.0,0.0,2.0,1,6,100,21,missing,missing
111,61,32.0,93.0,7.0,0.0,3,5,75,17,household,laundry
112,51,13.0,64.0,3.0,1.0,0,2,51,13,pantry,preserved dips spreads
113,78,35.0,113.0,6.0,7.0,0,1,70,11,personal care,digestion
114,32,4.0,36.0,5.0,1.0,0,2,69,15,canned goods,soup broth bouillon
115,168,235.0,403.0,30.0,15.0,2,1,50,19,snacks,fruit vegetable snacks
116,1374,3144.0,4518.0,281.0,159.0,2,4,93,3,bakery,breakfast bakery
117,643,3113.0,3756.0,167.0,120.0,2,4,2,16,dairy eggs,specialty cheeses
118,117,108.0,225.0,15.0,9.0,0,1,34,1,frozen,frozen meat seafood
119,22,9.0,31.0,7.0,1.0,0,2,62,5,alcohol,white wines
120,13,2.0,15.0,1.0,1.0,0,2,123,4,produce,packaged vegetables fruits
121,640,604.0,1244.0,121.0,42.0,2,4,21,16,dairy eggs,packaged cheese
122,163,9.0,172.0,7.0,10.0,0,1,29,13,pantry,honeys syrups nectars
123,822,59.0,881.0,66.0,35.0,2,4,19,13,pantry,oils vinegars
124,59,113.0,172.0,15.0,6.0,0,1,45,19,snacks,candy chocolate
125,27,1.0,28.0,2.0,0.0,3,5,118,11,personal care,first aid
126,114,122.0,236.0,16.0,13.0,0,1,4,9,dry goods pasta,instant foods
127,318,155.0,473.0,37.0,24.0,2,1,108,16,dairy eggs,other creams cheeses
128,536,643.0,1179.0,69.0,71.0,2,4,116,1,frozen,frozen produce
129,146,135.0,281.0,23.0,8.0,2,1,69,15,canned goods,soup broth bouillon
130,1524,2515.0,4039.0,276.0,175.0,2,4,37,1,frozen,ice cream ice
131,45,88.0,133.0,9.0,7.0,0,1,93,3,bakery,breakfast bakery
132,41,61.0,102.0,8.0,2.0,0,2,120,16,dairy eggs,yogurt
133,18,0.0,18.0,1.0,1.0,4,7,109,11,personal care,skin care
134,34,4.0,38.0,7.0,1.0,0,2,75,17,household,laundry
135,5,1.0,6.0,1.0,0.0,3,5,103,19,snacks,ice cream toppings
136,20,23.0,43.0,0.0,1.0,1,6,45,19,snacks,candy chocolate
137,121,202.0,323.0,20.0,15.0,2,1,91,16,dairy eggs,soy lactosefree
138,191,114.0,305.0,20.0,11.0,2,1,96,20,deli,lunch meat
139,16,8.0,24.0,3.0,0.0,3,5,131,9,dry goods pasta,dry pasta
140,21,2.0,23.0,2.0,1.0,0,2,107,19,snacks,chips pretzels
141,1342,2443.0,3785.0,213.0,146.0,2,4,107,19,snacks,chips pretzels
142,15,7.0,22.0,4.0,0.0,3,5,123,4,produce,packaged vegetables fruits
143,21,5.0,26.0,3.0,3.0,0,2,24,4,produce,fresh fruits
144,32,8.0,40.0,1.0,1.0,0,2,104,13,pantry,spices seasonings
145,51,26.0,77.0,10.0,3.0,0,2,78,19,snacks,crackers
146,53,51.0,104.0,9.0,3.0,0,1,70,11,personal care,digestion
147,12,2.0,14.0,3.0,0.0,3,5,67,20,deli,fresh dips tapenades
148,2175,2825.0,5000.0,302.0,97.0,2,4,24,4,produce,fresh fruits
149,308,293.0,601.0,30.0,17.0,2,1,88,13,pantry,spreads
150,137,77.0,214.0,22.0,8.0,0,1,134,5,alcohol,specialty wines champagnes
151,6,0.0,6.0,0.0,1.0,4,3,132,11,personal care,beauty
152,9,2.0,11.0,0.0,0.0,1,0,25,11,personal care,soap
153,39,8.0,47.0,6.0,3.0,0,2,75,17,household,laundry
154,17,15.0,32.0,3.0,2.0,0,2,129,1,frozen,frozen appetizers sides
155,51,10.0,61.0,7.0,2.0,0,2,58,1,frozen,frozen breads doughs
156,94,122.0,216.0,11.0,9.0,0,1,46,19,snacks,mint gum
157,44,14.0,58.0,5.0,4.0,0,2,16,4,produce,fresh herbs
158,67,122.0,189.0,13.0,8.0,0,1,96,20,deli,lunch meat
159,50,14.0,64.0,2.0,3.0,0,2,47,11,personal care,vitamins supplements
160,2634,775.0,3409.0,244.0,127.0,2,4,97,13,pantry,baking supplies decor
161,8,2.0,10.0,1.0,0.0,3,5,66,6,international,asian foods
162,1586,3527.0,5113.0,165.0,194.0,2,4,52,1,frozen,frozen breakfast
163,9,0.0,9.0,0.0,0.0,4,3,89,13,pantry,salad dressing toppings
164,8,1.0,9.0,0.0,1.0,1,6,3,19,snacks,energy granola bars
165,835,574.0,1409.0,115.0,66.0,2,4,12,9,dry goods pasta,fresh pasta
166,4,0.0,4.0,0.0,0.0,4,3,107,19,snacks,chips pretzels
167,10,4.0,14.0,2.0,1.0,0,2,77,7,beverages,soft drinks
168,36,21.0,57.0,3.0,3.0,0,2,17,13,pantry,baking ingredients
169,910,1072.0,1982.0,136.0,105.0,2,4,21,16,dairy eggs,packaged cheese
170,3,0.0,3.0,0.0,0.0,4,3,47,11,personal care,vitamins supplements
171,4,1.0,5.0,0.0,1.0,1,6,5,13,pantry,marinades meat preparation
172,27,72.0,99.0,2.0,2.0,0,2,61,19,snacks,cookies cakes
173,10,5.0,15.0,4.0,1.0,0,2,4,9,dry goods pasta,instant foods
174,12,8.0,20.0,0.0,2.0,1,6,73,11,personal care,facial care
175,5,1.0,6.0,2.0,0.0,3,5,122,12,meat seafood,meat counter
176,73,114.0,187.0,13.0,6.0,0,1,96,20,deli,lunch meat
177,60,131.0,191.0,6.0,8.0,0,1,94,7,beverages,tea
178,18,26.0,44.0,2.0,3.0,0,2,42,1,frozen,frozen vegan vegetarian
179,39,36.0,75.0,1.0,2.0,0,2,131,9,dry goods pasta,dry pasta
180,22,12.0,34.0,1.0,2.0,0,2,107,19,snacks,chips pretzels
181,192,114.0,306.0,23.0,19.0,2,1,59,15,canned goods,canned meals beans
182,6,0.0,6.0,0.0,1.0,4,3,126,11,personal care,feminine care
183,5,2.0,7.0,0.0,0.0,1,0,3,19,snacks,energy granola bars
184,577,507.0,1084.0,71.0,44.0,2,4,45,19,snacks,candy chocolate
185,40,39.0,79.0,6.0,4.0,0,2,38,1,frozen,frozen meals
186,373,241.0,614.0,44.0,33.0,2,1,74,17,household,dish detergents
187,129,151.0,280.0,14.0,11.0,2,1,95,15,canned goods,canned meat seafood
188,74,163.0,237.0,5.0,12.0,0,1,67,20,deli,fresh dips tapenades
189,16,14.0,30.0,3.0,1.0,0,2,112,3,bakery,bread
190,102,56.0,158.0,11.0,4.0,0,1,69,15,canned goods,soup broth bouillon
191,12,7.0,19.0,0.0,1.0,1,6,9,9,dry goods pasta,pasta sauce
192,32,5.0,37.0,7.0,2.0,0,2,33,6,international,kosher foods
193,8,3.0,11.0,0.0,1.0,1,6,98,7,beverages,juice nectars
194,146,326.0,472.0,20.0,20.0,2,1,122,12,meat seafood,meat counter
195,8,26.0,34.0,3.0,2.0,0,2,108,16,dairy eggs,other creams cheeses
196,8286,29012.0,37298.0,2320.0,1507.0,2,4,77,7,beverages,soft drinks
197,10,6.0,16.0,2.0,1.0,0,2,26,7,beverages,coffee
198,31,16.0,47.0,6.0,4.0,0,2,67,20,deli,fresh dips tapenades
199,216,62.0,278.0,25.0,11.0,2,1,16,4,produce,fresh herbs
200,11,0.0,11.0,1.0,3.0,4,7,126,11,personal care,feminine care
201,12,5.0,17.0,0.0,0.0,1,0,38,1,frozen,frozen meals
202,12,2.0,14.0,5.0,1.0,0,2,38,1,frozen,frozen meals
203,26,7.0,33.0,2.0,2.0,0,2,11,11,personal care,cold flu allergy
204,2675,2433.0,5108.0,254.0,177.0,2,4,75,17,household,laundry
205,32,57.0,89.0,6.0,6.0,0,2,3,19,snacks,energy granola bars
206,104,93.0,197.0,14.0,13.0,0,1,38,1,frozen,frozen meals
207,421,455.0,876.0,55.0,27.0,2,4,45,19,snacks,candy chocolate
208,15,14.0,29.0,1.0,2.0,0,2,91,16,dairy eggs,soy lactosefree
209,57,31.0,88.0,9.0,8.0,0,1,1,20,deli,prepared soups salads
210,1883,2830.0,4713.0,331.0,161.0,2,4,9,9,dry goods pasta,pasta sauce
211,181,207.0,388.0,25.0,11.0,2,1,130,14,breakfast,hot cereal pancake mixes
212,106,124.0,230.0,9.0,9.0,0,1,107,19,snacks,chips pretzels
213,56,58.0,114.0,9.0,3.0,0,1,107,19,snacks,chips pretzels
214,14,5.0,19.0,3.0,2.0,0,2,22,11,personal care,hair care
215,272,98.0,370.0,26.0,17.0,2,1,66,6,international,asian foods
216,307,267.0,574.0,44.0,22.0,2,1,130,14,breakfast,hot cereal pancake mixes
217,121,141.0,262.0,12.0,16.0,2,1,108,16,dairy eggs,other creams cheeses
218,8,4.0,12.0,0.0,0.0,1,0,8,3,bakery,bakery desserts
219,383,264.0,647.0,33.0,23.0,2,1,82,18,babies,baby accessories
220,6,1.0,7.0,1.0,0.0,3,5,118,11,personal care,first aid
221,23,26.0,49.0,3.0,2.0,0,2,31,7,beverages,refrigerated
222,225,305.0,530.0,31.0,33.0,2,1,121,14,breakfast,cereal
223,34,94.0,128.0,12.0,7.0,0,1,115,7,beverages,water seltzer sparkling water
224,2,0.0,2.0,1.0,0.0,4,7,114,17,household,cleaning products
225,7,1.0,8.0,3.0,2.0,0,2,107,19,snacks,chips pretzels
226,924,682.0,1606.0,127.0,65.0,2,4,21,16,dairy eggs,packaged cheese
227,7,0.0,7.0,1.0,0.0,4,7,45,19,snacks,candy chocolate
228,663,945.0,1608.0,108.0,50.0,2,4,69,15,canned goods,soup broth bouillon
229,71,19.0,90.0,7.0,7.0,0,1,109,11,personal care,skin care
230,8,13.0,21.0,0.0,0.0,1,0,77,7,beverages,soft drinks
231,9,4.0,13.0,0.0,0.0,1,0,49,12,meat seafood,packaged poultry
232,33,40.0,73.0,1.0,4.0,0,2,37,1,frozen,ice cream ice
233,62,52.0,114.0,5.0,1.0,0,1,94,7,beverages,tea
234,89,78.0,167.0,17.0,9.0,0,1,124,5,alcohol,spirits
235,21,9.0,30.0,2.0,2.0,0,2,105,13,pantry,doughs gelatins bake mixes
236,7,1.0,8.0,1.0,1.0,0,2,40,8,pets,dog food care
237,47,54.0,101.0,10.0,1.0,0,2,94,7,beverages,tea
238,17,10.0,27.0,1.0,1.0,0,2,121,14,breakfast,cereal
239,100,94.0,194.0,13.0,6.0,0,1,107,19,snacks,chips pretzels
240,23,10.0,33.0,4.0,2.0,0,2,104,13,pantry,spices seasonings
241,23,30.0,53.0,6.0,7.0,0,2,38,1,frozen,frozen meals
242,45,98.0,143.0,6.0,5.0,0,1,45,19,snacks,candy chocolate
243,20,13.0,33.0,7.0,1.0,0,2,5,13,pantry,marinades meat preparation
244,29,14.0,43.0,5.0,2.0,0,2,9,9,dry goods pasta,pasta sauce
245,24,14.0,38.0,3.0,2.0,0,2,93,3,bakery,breakfast bakery
246,647,237.0,884.0,72.0,58.0,2,4,75,17,household,laundry
247,50,13.0,63.0,5.0,6.0,0,2,107,19,snacks,chips pretzels
248,3945,2645.0,6590.0,382.0,219.0,2,4,117,19,snacks,nuts seeds dried fruit
249,4,2.0,6.0,0.0,1.0,1,6,62,5,alcohol,white wines
250,9,6.0,15.0,4.0,1.0,0,2,79,1,frozen,frozen pizza
251,15,12.0,27.0,3.0,3.0,0,2,47,11,personal care,vitamins supplements
252,3,0.0,3.0,1.0,0.0,4,7,121,14,breakfast,cereal
253,27,27.0,54.0,9.0,1.0,0,2,31,7,beverages,refrigerated
254,63,6.0,69.0,11.0,6.0,0,2,72,13,pantry,condiments
255,45,9.0,54.0,5.0,1.0,0,2,11,11,personal care,cold flu allergy
256,214,199.0,413.0,30.0,22.0,2,1,50,19,snacks,fruit vegetable snacks
257,6,28.0,34.0,1.0,1.0,0,2,77,7,beverages,soft drinks
258,1026,1085.0,2111.0,195.0,78.0,2,4,38,1,frozen,frozen meals
259,4,0.0,4.0,0.0,1.0,4,3,95,15,canned goods,canned meat seafood
260,9193,15922.0,25115.0,1030.0,1215.0,2,4,24,4,produce,fresh fruits
261,728,752.0,1480.0,103.0,63.0,2,4,38,1,frozen,frozen meals
262,126,64.0,190.0,17.0,11.0,0,1,110,13,pantry,pickled goods olives
263,173,7.0,180.0,20.0,8.0,0,1,97,13,pantry,baking supplies decor
264,1033,2140.0,3173.0,237.0,148.0,2,4,120,16,dairy eggs,yogurt
265,6,1.0,7.0,1.0,0.0,3,5,85,17,household,food storage
266,22,82.0,104.0,5.0,1.0,0,2,64,7,beverages,energy sports drinks
267,76,92.0,168.0,6.0,6.0,0,1,37,1,frozen,ice cream ice
268,5,1.0,6.0,0.0,0.0,1,0,114,17,household,cleaning products
269,9,1.0,10.0,1.0,2.0,0,2,79,1,frozen,frozen pizza
270,137,58.0,195.0,13.0,8.0,0,1,85,17,household,food storage
271,22,12.0,34.0,3.0,3.0,0,2,38,1,frozen,frozen meals
272,11,3.0,14.0,2.0,0.0,3,5,47,11,personal care,vitamins supplements
273,531,838.0,1369.0,64.0,46.0,2,4,107,19,snacks,chips pretzels
274,1609,664.0,2273.0,144.0,68.0,2,4,87,17,household,more household
275,129,26.0,155.0,12.0,12.0,0,1,103,19,snacks,ice cream toppings
276,1594,959.0,2553.0,204.0,99.0,2,4,37,1,frozen,ice cream ice
277,959,2236.0,3195.0,193.0,158.0,2,4,77,7,beverages,soft drinks
278,695,231.0,926.0,76.0,29.0,2,4,4,9,dry goods pasta,instant foods
279,130,69.0,199.0,11.0,5.0,0,1,94,7,beverages,tea
280,818,468.0,1286.0,95.0,100.0,2,4,73,11,personal care,facial care
281,131,70.0,201.0,6.0,7.0,0,1,94,7,beverages,tea
282,69,71.0,140.0,16.0,2.0,0,1,40,8,pets,dog food care
283,1660,1473.0,3133.0,169.0,103.0,2,4,131,9,dry goods pasta,dry pasta
284,91,89.0,180.0,16.0,6.0,0,1,9,9,dry goods pasta,pasta sauce
285,106,62.0,168.0,7.0,12.0,0,1,61,19,snacks,cookies cakes
286,162,56.0,218.0,16.0,10.0,2,1,89,13,pantry,salad dressing toppings
287,956,2322.0,3278.0,230.0,171.0,2,4,96,20,deli,lunch meat
288,110,194.0,304.0,17.0,8.0,2,1,130,14,breakfast,hot cereal pancake mixes
289,6,1.0,7.0,1.0,1.0,0,2,98,7,beverages,juice nectars
290,40,42.0,82.0,9.0,1.0,0,2,31,7,beverages,refrigerated
291,12,3.0,15.0,0.0,0.0,1,0,20,11,personal care,oral hygiene
292,21,8.0,29.0,1.0,0.0,3,5,44,11,personal care,eye ear care
293,70,118.0,188.0,14.0,5.0,0,1,41,8,pets,cat food care
294,495,568.0,1063.0,75.0,47.0,2,4,78,19,snacks,crackers
295,42,11.0,53.0,2.0,4.0,0,2,70,11,personal care,digestion
296,8,5.0,13.0,0.0,3.0,1,6,127,11,personal care,body lotions soap
297,37,6.0,43.0,1.0,1.0,0,2,100,21,missing,missing
298,18,26.0,44.0,3.0,1.0,0,2,94,7,beverages,tea
299,12,0.0,12.0,2.0,0.0,4,7,98,7,beverages,juice nectars
300,325,83.0,408.0,24.0,15.0,2,1,17,13,pantry,baking ingredients
301,10,7.0,17.0,1.0,0.0,3,5,47,11,personal care,vitamins supplements
302,7,5.0,12.0,0.0,2.0,1,6,40,8,pets,dog food care
303,28,2.0,30.0,1.0,4.0,0,2,45,19,snacks,candy chocolate
304,66,42.0,108.0,8.0,5.0,0,1,117,19,snacks,nuts seeds dried fruit
305,171,67.0,238.0,13.0,10.0,2,1,29,13,pantry,honeys syrups nectars
306,32,13.0,45.0,3.0,1.0,0,2,83,4,produce,fresh vegetables
307,165,99.0,264.0,18.0,13.0,2,1,21,16,dairy eggs,packaged cheese
308,8,2.0,10.0,1.0,1.0,0,2,22,11,personal care,hair care
309,18,13.0,31.0,2.0,1.0,0,2,92,18,babies,baby food formula
310,415,716.0,1131.0,74.0,28.0,2,4,78,19,snacks,crackers
311,3752,4741.0,8493.0,564.0,281.0,2,4,52,1,frozen,frozen breakfast
312,4,1.0,5.0,2.0,0.0,3,5,83,4,produce,fresh vegetables
313,7,1.0,8.0,0.0,0.0,1,0,37,1,frozen,ice cream ice
314,7,0.0,7.0,1.0,0.0,4,7,20,11,personal care,oral hygiene
315,22,6.0,28.0,1.0,0.0,3,5,89,13,pantry,salad dressing toppings
316,29,6.0,35.0,4.0,0.0,3,5,80,11,personal care,deodorants
317,28,51.0,79.0,7.0,5.0,0,2,112,3,bakery,bread
318,13,1.0,14.0,1.0,0.0,3,5,101,17,household,air fresheners candles
319,101,106.0,207.0,18.0,6.0,0,1,116,1,frozen,frozen produce
320,4,0.0,4.0,1.0,0.0,4,7,25,11,personal care,soap
321,19,5.0,24.0,1.0,2.0,0,2,47,11,personal care,vitamins supplements
322,161,175.0,336.0,15.0,19.0,2,1,79,1,frozen,frozen pizza
323,23,1.0,24.0,0.0,0.0,1,0,17,13,pantry,baking ingredients
324,9,4.0,13.0,0.0,0.0,1,0,3,19,snacks,energy granola bars
325,445,724.0,1169.0,95.0,65.0,2,4,42,1,frozen,frozen vegan vegetarian
326,39,14.0,53.0,7.0,4.0,0,2,4,9,dry goods pasta,instant foods
327,362,380.0,742.0,37.0,27.0,2,4,116,1,frozen,frozen produce
328,6,1.0,7.0,0.0,0.0,1,0,101,17,household,air fresheners candles
329,3206,12733.0,15939.0,841.0,480.0,2,4,84,16,dairy eggs,milk
330,501,174.0,675.0,47.0,18.0,2,4,30,6,international,latino foods
331,11,3.0,14.0,1.0,1.0,0,2,61,19,snacks,cookies cakes
332,30,23.0,53.0,2.0,4.0,0,2,3,19,snacks,energy granola bars
333,49,16.0,65.0,8.0,0.0,3,5,25,11,personal care,soap
334,139,165.0,304.0,22.0,26.0,2,1,115,7,beverages,water seltzer sparkling water
335,55,147.0,202.0,11.0,9.0,0,1,31,7,beverages,refrigerated
336,7,19.0,26.0,2.0,0.0,3,5,31,7,beverages,refrigerated
337,28,5.0,33.0,6.0,1.0,0,2,25,11,personal care,soap
338,12,5.0,17.0,0.0,0.0,1,0,33,6,international,kosher foods
339,80,115.0,195.0,9.0,4.0,0,1,120,16,dairy eggs,yogurt
340,230,366.0,596.0,35.0,27.0,2,1,121,14,breakfast,cereal
341,28,8.0,36.0,4.0,0.0,3,5,9,9,dry goods pasta,pasta sauce
342,61,64.0,125.0,9.0,4.0,0,1,41,8,pets,cat food care
343,1286,2047.0,3333.0,152.0,153.0,2,4,123,4,produce,packaged vegetables fruits
344,3,0.0,3.0,0.0,0.0,4,3,37,1,frozen,ice cream ice
345,5,2.0,7.0,0.0,1.0,1,6,64,7,beverages,energy sports drinks
346,4,0.0,4.0,0.0,1.0,4,3,112,3,bakery,bread
347,282,505.0,787.0,64.0,40.0,2,4,123,4,produce,packaged vegetables fruits
348,31,22.0,53.0,4.0,2.0,0,2,94,7,beverages,tea
349,144,12.0,156.0,10.0,7.0,0,1,17,13,pantry,baking ingredients
350,228,329.0,557.0,39.0,23.0,2,1,27,5,alcohol,beers coolers
351,189,89.0,278.0,32.0,16.0,2,1,127,11,personal care,body lotions soap
352,276,311.0,587.0,44.0,29.0,2,1,21,16,dairy eggs,packaged cheese
353,102,133.0,235.0,20.0,15.0,0,1,67,20,deli,fresh dips tapenades
354,246,99.0,345.0,28.0,10.0,2,1,85,17,household,food storage
